number_of_patches,max_patch,second_max,total_patch_area,data_set_name,region,subregion,threshold,year,regsub,mean_max_patch,prop_max_patch,prop_second_max,delta_max_patch,delta_prop_max_patch,delta_year_patch,delta_year_prop_patch
1033652,29047644.591194272,2137637.9018627293,40707025.41495285,africa_AF_1_10_perc_threshold_in_MOD44B.MRTWEB.A2000065.051.Percent_Tree_Cover,AF,1,10,2000,AF1,33626044.74713589,0.7135781672842213,0.05251275130207657,-4578400.1559416205,-0.1124719900132974,NA,NA
746708,31957674.38199585,3612680.973666112,43161322.93030344,africa_AF_1_10_perc_threshold_in_MOD44B.MRTWEB.A2001065.051.Percent_Tree_Cover,AF,1,10,2001,AF1,33626044.74713589,0.7404238844486034,0.08370181283599301,-1668370.3651400432,-0.03865429166372204,2910029.7908015773,0.02684571716438211
835500,38980421.80497834,486193.34147436445,44485763.26363893,africa_AF_1_10_perc_threshold_in_MOD44B.MRTWEB.A2002065.051.Percent_Tree_Cover,AF,1,10,2002,AF1,33626044.74713589,0.876244869037451,0.0109291896059646,5354377.057842448,0.120361586831959,7022747.422982492,0.13582098458884762
895054,34545517.25462455,845390.3602118607,41234421.53263318,africa_AF_1_10_perc_threshold_in_MOD44B.MRTWEB.A2003065.051.Percent_Tree_Cover,AF,1,10,2003,AF1,33626044.74713589,0.8377834821154219,0.020502054564844895,919472.5074886605,0.022298663915073583,-4434904.550353788,-0.03846138692202916
897896,31899208.538482904,3862099.579290896,42432102.40270997,africa_AF_1_10_perc_threshold_in_MOD44B.MRTWEB.A2004065.051.Percent_Tree_Cover,AF,1,10,2004,AF1,33626044.74713589,0.7517706343121389,0.0910183413170741,-1726836.208652988,-0.04069645647684669,-2646308.7161416486,-0.086012847803283
900512,33302007.12726902,3710608.2534669084,43175053.49875699,africa_AF_1_10_perc_threshold_in_MOD44B.MRTWEB.A2005065.051.Percent_Tree_Cover,AF,1,10,2005,AF1,33626044.74713589,0.7713252081604898,0.08594333886751841,-324037.61986687407,-0.007505204825657092,1402798.588786114,0.01955457384835091
805749,37455373.69805862,3770307.0483587044,46924634.31979073,africa_AF_1_10_perc_threshold_in_MOD44B.MRTWEB.A2006065.051.Percent_Tree_Cover,AF,1,10,2006,AF1,33626044.74713589,0.7982027828453765,0.080348139160001,3829328.9509227276,0.08160594123815444,4153366.5707896017,0.026877574684886718
828291,34340180.1568732,3201711.9419673732,43663621.26219243,africa_AF_1_10_perc_threshold_in_MOD44B.MRTWEB.A2007065.051.Percent_Tree_Cover,AF,1,10,2007,AF1,33626044.74713589,0.7864711896126619,0.07332676148736385,714135.4097373039,0.016355386683322606,-3115193.5411854237,-0.011731593232714554
969422,32147602.20960196,3622094.1728775743,42442183.936186634,africa_AF_1_10_perc_threshold_in_MOD44B.MRTWEB.A2008065.051.Percent_Tree_Cover,AF,1,10,2008,AF1,33626044.74713589,0.7574445805601581,0.08534184240668492,-1478442.5375339314,-0.03483427101104937,-2192577.9472712353,-0.02902660905250387
885563,32797928.124618374,3202621.7971554645,43675001.29853634,africa_AF_1_10_perc_threshold_in_MOD44B.MRTWEB.A2009065.051.Percent_Tree_Cover,AF,1,10,2009,AF1,33626044.74713589,0.7509542564276356,0.07332848773751022,-828116.6225175187,-0.018960883752630157,650325.9150164127,-0.006490324132522485
842299,32002937.274047393,3868245.6904173666,42054258.15972932,africa_AF_1_10_perc_threshold_in_MOD44B.MRTWEB.A2010065.051.Percent_Tree_Cover,AF,1,10,2010,AF1,33626044.74713589,0.7609916016707446,0.0919822595782121,-1623107.4730884992,-0.03859555593451815,-794990.8505709805,0.010037345243109064
